type,name,notice,furigana
燃やすごみ,帯,,お
燃やさないごみ,おもちゃ,,お
燃やさないごみ,おもり（釣り具等）,,お
燃やさないごみ,おろし金,,お
収集しません,温水器,,お
燃やさないごみ,温風器（ 30cm以下の物）,,お
燃やさないごみ,温度計,,お
燃やすごみ,カーテン（ 30cm以下の物）,,か
収集しません,カーテンレール,,か
収集しません,カーペット,,か
燃やすごみ,貝殻,,か
燃やすごみ,買い物袋（ナイロン・プラ・布製）,,か
資源の日,買い物袋（紙製）,,か
燃やさないごみ,懐中電灯,,か
燃やすごみ,カイロ（使い捨て）（本体）,,か
資源ごみ,カイロ（使い捨て）（外装プラ）,,か
燃やさないごみ,鏡（ 30cm以下の物）,,か
収集しません,家具（タンス・下駄箱等）,,か
燃やすごみ,傘（布の部分）,,か
燃やさないごみ,傘（骨の部分）,,か
資源の日,菓子袋（紙類）,,か
資源ごみ,菓子袋（プラ類）,,か
燃やすごみ,菓子袋（プラで内が銀色のもの）,,か
資源ごみ,菓子缶,,か
燃やさないごみ,かき氷器（ 30cm以下の物）,,か
燃やすごみ,額縁（木製、 30cm以下の物）,,か
収集しません,額縁（プラスチック製、 30cm以下の物）,,か
収集しません,加湿器,,か
収集しません,ガスコンロ,,か
収集しません,ガステーブル,,か
収集しません,ガスボンベ,,か
収集しません,ガスレンジ,,か
収集しません,カセット式ガスコンロ,,か
資源ごみ,カセット式ガスボンベ,,か
燃やすごみ,カセットテープ,,か
燃やさないごみ,カセットテープケース,,か
収集しません,カセットデッキ,,か
燃やさないごみ,カッターナイフ,,か
資源の日,カタログ類（パンフレット）,,か
燃やさないごみ,金網（ 30cm以下の物）,,か
燃やさないごみ,金づち,,か
燃やすごみ,鞄（かばん）,,か
燃やさないごみ,画鋲,,か
燃やさないごみ,鎌,,か
燃やすごみ,紙おむつ,,か
燃やすごみ,紙コップ,,か
資源の日,紙パック（内が銀色でない物）,,か
燃やすごみ,紙パック（内が銀色の物）,,か
資源の日,紙箱,,か
資源の日,紙袋,,か
燃やさないごみ,カミソリ,,か
資源ごみ,カップめん容器（洗って、きれいな物）,,か
燃やすごみ,カップめん容器（汚れが落ちない物）,,か
資源ごみ,カップめん外フィルム,,か
資源ごみ,カップめんの蓋（内が銀色でない物）,,か
燃やすごみ,カップめんの蓋（内が銀色の物）,,か
資源ごみ,カップめんの具の袋（内が銀色でない物）,,か
燃やすごみ,カップめんの具の袋（内が銀色の物）,,か
燃やすごみ,ガムテープ,,か
燃やさないごみ,カメラ,,か
燃やすごみ,カメラフィルム,,か
資源の日,画用紙,,か
燃やすごみ,カラーボックス（木製）（ 30cm以下の物）,,か
燃やさないごみ,ガラスコップ類,,か
燃やさないごみ,ガラス板類（少量で 30cm以下の物）,,か
資源の日,カレンダー,,か
燃やすごみ,革靴,,か
燃やすごみ,革製品,,か
燃やすごみ,革ジャンパー,,か
収集しません,瓦,,か
資源ごみ,缶（飲料用）,,か
燃やさないごみ,缶（油・ペンキ・化粧缶）,,か
燃やすごみ,乾燥剤,,か
燃やさないごみ,乾電池,,か
収集しません,換気扇,,か
燃やすごみ,感熱紙,,か
燃やすごみ,緩衝材,,か
収集しません,キーボード（パソコン）,,き
収集しません,キーボード（楽器）,,き
燃やすごみ,木くず（幅・厚さ・長さを15cm以下に切った物）,,き
収集しません,木くず（幅 30cm・厚さ5cmの板状、長さ2m以下にして）,,き
資源の日,着物,,き
燃やさないごみ,キッチンガード（ 30cm以下の物）,,き
資源の日,脚立,,き
燃やさないごみ,急須,,き
資源の日,牛乳パック,,き
燃やさないごみ,キャリーバッグ（ 30cm以下の物）,,き
燃やすごみ,銀紙（銀コート紙も含む）,,き
燃やさないごみ,金庫（手提げ金庫 30cm以下の物）,,き
収集しません,金庫（耐火構造の物）,,き
燃やすごみ,クーハン（乳児かご）（ 30cm以下の物）,,く
収集しません,クーラーボックス,,く
燃やさないごみ,空気入れ（ 30cm以下の物）,,く
収集しません,空気清浄機,,く
燃やさないごみ,釘,,く
燃やすごみ,草,,く
収集しません,草刈機,,く
資源ごみ,薬の容器（人に用いる物）,,く
資源ごみ,薬の包装材（ラミネート白・透明な物）,,く
燃やすごみ,薬の包装材（銀ラミネート・紙製）,,く
燃やさないごみ,口紅のケース,,く
燃やすごみ,口紅の中身,,く
燃やすごみ,靴,,く
燃やすごみ,靴下,,く
燃やすごみ,クッション（ 30cm以下の物）,,く
収集しません,車いす,,く
燃やすごみ,クレヨン,,く
燃やさないごみ,鍬（くわ）（ 30cm以下の物）,,く
燃やさないごみ,携帯電話,,け
燃やさないごみ,携帯電話のバッテリー,,け
燃やさないごみ,蛍光灯、蛍光管,,け
燃やすごみ,毛糸製品,,け
燃やさないごみ,ゲーム機（ 30cm以下の物）,,け
資源ごみ,化粧品容器,,け
資源ごみ,化粧品チューブ,汚れが落ちないものは燃やすごみ,け
資源ごみ,ケチャップ容器,,け
燃やさないごみ,血圧計,,け
燃やすごみ,玄関マット（布製、 30cm以下の物）,,け
燃やさないごみ,玄関マット（プラ・金属製、 30cm以下の物）,,け
燃やさないごみ,健康器具類（ 30cm以下の物）,,け
燃やさないごみ,工具類（ 30cm以下の物）,,こ
燃やすごみ,ゴーグル,レンズを外す。レンズ部分は燃やさないごみ,こ
燃やさないごみ,コーヒーメーカー（ 30cm以下の物）,,こ
燃やすごみ,氷枕（ 30cm以下の物）,,こ
燃やすごみ,ござ（ 30cm以下の物）,,こ
燃やさないごみ,こたつ（ 30cm以下の物）,,こ
収集しません,こたつ天板,,こ
収集しません,コードリール,,こ
資源の日,米袋（紙製）,,こ
燃やすごみ,ゴムホース,,こ
燃やすごみ,コルク,,こ
収集しません,ゴルフバック,,こ
収集しません,コンクリート,,こ
燃やすごみ,コンタクトレンズ,,こ
燃やすごみ,コンパネ（ 30cm以下の物）,,こ
収集しません,コンポスト,,こ
収集しません,コンロ,,こ
燃やさないごみ,財布（プラスチック製）,,さ
燃やすごみ,財布（布・革製）,,さ
収集しません,座椅子,,さ
燃やすごみ,酒パック,,さ
資源の日,雑誌,,さ
資源の日,雑紙,,さ
資源ごみ,殺虫剤（スプレー方式）本体缶,,さ
資源ごみ,殺虫剤（薫蒸タイプ）（外装フィルム）,,さ
燃やさないごみ,殺虫剤（薫蒸タイプ）（本体金属）,,さ
燃やすごみ,殺虫剤(薫蒸タイプ）（紙製）,,さ
燃やすごみ,座布団,,さ
燃やさないごみ,皿,,さ
収集しません,三輪車（幼児用、運搬用）,,さ
燃やさないごみ,CD,,し
燃やさないごみ,CDケース,,し
収集しません,CDプレーヤー（ラジカセ）,,し
燃やすごみ,シーツ（ 30cm以下の物）,,し
燃やすごみ,シート（ブルーシート製）（ 30cm以下の物）,,し
燃やさないごみ,磁気カード,,し
燃やすごみ,磁気マット、マットレス（布の部分 30cm以下の物）,,し
燃やさないごみ,磁気マット、マットレス（磁石の部分）,,し
燃やさないごみ,磁石,,し
燃やすごみ,下着類,,し
燃やさないごみ,下敷き（プラスチック製）,,し
収集しません,自転車,,し
燃やすごみ,写真,,し
燃やさないごみ,シャープペンシル,,し
資源ごみ,シャンプーの容器,,し
燃やさないごみ,しゃもじ（プラ・金属製）,,し
燃やすごみ,しゃもじ（木製）,,し
収集しません,ジューサー,,し
収集しません,じゅうたん,,し
燃やさないごみ,充電器（ 30cm以下の物）,,し
燃やすごみ,シュレッダー処理の紙,,し
収集しません,障子戸（プラ・金属製）,,し
収集しません,障子戸（木製）,,し
資源ごみ,焼酎の容器（ペット・びん・缶）,,し
資源ごみ,焼酎の容器（その他プラ）,,し
資源の日,焼酎の容器（紙製）,,し
燃やすごみ,焼酎の容器（内が銀色の物）,,し
資源ごみ,醤油の容器（ペット・びん・缶）,,し
資源ごみ,醤油の容器（その他プラ）,,し
資源の日,醤油の容器（紙製）,,し
燃やすごみ,醤油の容器（内が銀色の物）,,し
燃やさないごみ,照明器具（ 30cm以下の物）,,し
収集しません,食器洗い機,,し
収集しません,食器乾燥機,,し
資源ごみ,食品外装フィルム（洗って、きれいな物）,,し
燃やすごみ,食品外装フィルム（内が銀色の物）,,し
燃やすごみ,食品外装フィルム（汚れが落ちない物）,,し
資源ごみ,食品トレー（洗って、きれいな物）,,し
燃やすごみ,食品トレー（内が銀色の物）,,し
燃やすごみ,食品トレー（汚れが落ちない物）,,し
資源ごみ,食品パック（洗って、きれいな物）,,し
燃やすごみ,食品パック（内が銀色の物）,,し
燃やすごみ,食品パック（汚れが落ちない物）,,し
収集しません,消火器（圧力容器扱い）,,し
資源ごみ,消臭剤容器（外装フィルム）,,し
資源ごみ,消臭剤容器（あらって、きれいな物）,,し
燃やすごみ,消臭剤容器（内が銀色の物、汚れが落ちない物）,,し
収集しません,じょうろ（プラ・金属製）,,し
資源の日,新聞紙,,し
収集しません,水槽,,す
燃やさないごみ,水筒,,す
収集しません,炊飯器,,す
収集しません,スキー板、ストック,,す
収集しません,スキー靴,,す
燃やすごみ,スキーウェア,,す
収集しません,スコップ,,す
燃やさないごみ,すずり,,す
燃やさないごみ,スタンプ台,,す
燃やすごみ,すだれ（ 30cm以下の物）,,す
資源ごみ,スチール缶,,す
収集しません,スーツケース,,す
収集しません,ステレオセット,,す
収集しません,ストーブ,,す
燃やさないごみ,すのこ（プラスチック製）（ 30cm以下の物）,,す
燃やすごみ,すのこ（木製）（ 30cm以下の物）,,す
収集しません,スノーボード,,す
収集しません,スピーカー,,す
燃やすごみ,墨（炭）,,す
燃やさないごみ,スプレー缶,,す
燃やすごみ,スポンジ,,す
収集しません,スレート,,す
燃やすごみ,生理用品,,せ
燃やすごみ,セーター,,せ
燃やすごみ,石鹸,,せ
燃やさないごみ,せともの,,せ
資源ごみ,セロハン（外装フィルム）,,せ
燃やさないごみ,栓抜き,,せ
資源ごみ,洗剤容器（プラスチック製）,,せ
燃やすごみ,洗剤容器（紙製）,,せ
燃やさないごみ,洗剤のスプーン,,せ
収集しません,洗濯機,,せ
燃やさないごみ,洗濯物かご,,せ
燃やさないごみ,洗濯バサミ,,せ
収集しません,洗面台,,せ
収集しません,扇風機,,せ
収集しません,掃除機,,そ
燃やすごみ,掃除機の紙パック,,そ
収集しません,ソファー（金属製）,,そ
収集しません,ソファー（木製、厚さ5cm以下）,,そ
燃やさないごみ,そろばん（プラスチック製）,,そ
燃やすごみ,そろばん（木製）,,そ
燃やさないごみ,体温計（ガラス・プラスチック製）,,た
燃やさないごみ,体重計,,た
燃やさないごみ,耐熱ガラス,,た
収集しません,タイヤ,,た
収集しません,タイヤチェーン,,た
収集しません,タイヤホイール,,た
燃やさないごみ,タイル,,た
燃やすごみ,ダウンコート,,た
燃やすごみ,タオル,,た
燃やすごみ,タオルケット（ 30cm以下の物）,,た
収集しません,畳,,た
資源ごみ,脱臭剤容器（プラ）（外装フィルム）,,た
資源ごみ,脱臭剤容器（プラ）（本体、洗ってきれいな物）,,た
燃やすごみ,脱臭剤容器（プラ）（内が銀色の物）,,た
燃やすごみ,脱臭剤容器（プラ）（汚れが落ちないもの）,,た
燃やさないごみ,タッパー容器,,た
資源ごみ,卵のパック（プラスチック製）,,た
燃やすごみ,卵のパック（紙製）,,た
燃やすごみ,たらい（木製、 30cm以下の物）,,た
燃やさないごみ,たらい（プラスチック製）,,た
燃やすごみ,タワシ,,た
資源の日,段ボール（普通紙）,,た
燃やすごみ,段ボール（銀・油コーティング）,,た
燃やさないごみ,チェーン（ 30cm以下の物）,,ち
収集しません,チェーンソー,,ち
燃やさないごみ,ちりとり（プラ・金属製）,,ち
収集しません,チャイルドシート,,ち
燃やさないごみ,茶碗・汁碗（プラ・陶器製）,,ち
燃やすごみ,茶碗・汁碗（木製）,,ち
収集しません,チューナー,,ち
燃やすごみ,チューブ（自転車等の）（ 30cm以下の物）,,ち
資源ごみ,チューブ製の容器,中を洗い、水を切る。汚れが落ちないものは燃やすごみ,ち
収集しません,貯米器,,ち
資源の日,チラシ,,ち
収集しません,机（プラ・陶器製）,,つ
収集しません,机（木製、幅 30cm、厚さ5cmの板状、長さ2m以下にする）,,つ
燃やさないごみ,漬け物石（ 30cm以下の物）,,つ
燃やさないごみ,壷（陶磁器製）,,つ
燃やさないごみ,壷（ガラス製）（ 30cm以下の物）,,つ
燃やさないごみ,積み木（プラスチック製）,,つ
燃やすごみ,積み木（木製）,,つ
燃やすごみ,釣り糸,,つ
燃やさないごみ,釣り竿（ファイバー製）（ 30cm以下の物）,,つ
燃やすごみ,釣り竿（竹製）（ 30cm以下の物）,,つ
燃やさないごみ,釣り具（おもり・ルアー）,,つ
燃やすごみ,ティッシュペーパー,,て
燃やすごみ,テープ,,て
燃やさないごみ,テープカッター,,て
燃やすごみ,テーブルクロス,,て
燃やさないごみ,デジタルカメラ,,て
燃やさないごみ,デスクマット,,て
燃やさないごみ,鉄アレイ,,て
収集しません,鉄くず,,て
燃やさないごみ,DVDケース,,て
収集しません,DVDプレーヤー,,て
収集しません,テレビ,,て
収集しません,テレビ台,,て
燃やさないごみ,テレビゲーム本体・ソフト（プラ・金属製）（ 30cm以下の物）,,て
燃やすごみ,テーブル（木製）（ 30cm以下の物）,,て
燃やすごみ,テント（ 30cm以下の物）,,て
燃やさないごみ,電気アンカ（ 30cm以下の物）,,て
収集しません,電気カーペット,,て
燃やさないごみ,電気コード,,て
収集しません,電気ストーブ,,て
収集しません,電気毛布,,て
収集しません,電子レンジ,,て
燃やさないごみ,電球,,て
燃やさないごみ,電卓,,て
燃やさないごみ,電話機,,て
燃やさないごみ,砥石,,と
燃やすごみ,樋（ 30cm以下の物）,,と
資源の日,トイレットペーパーの芯,,と
燃やさないごみ,陶磁器（ 30cm以下の物）,,と
燃やすごみ,灯油給油ポンプ（プラスチック製、サイフォン式PE）,,と
収集しません,灯油給油ポンプ（プラ・金属製）,,と
燃やさないごみ,灯油給油ポンプ（電動式）,,と
燃やさないごみ,トースター,,と
燃やさないごみ,時計,,と
燃やさないごみ,トタン（ 30cm以下の物）,,と
燃やさないごみ,土鍋（ 30cm以下の物）,,と
燃やさないごみ,ドライヤー,,と
収集しません,ドラム缶,,と
収集しません,塗料,,と
燃やさないごみ,塗料缶・びん,,と
資源ごみ,トレー（食品）,,と
燃やさないごみ,ナイフ,,な
収集しません,波板（プラ・金属製）,,な
燃やさないごみ,鍋（金属製）,,な
燃やさないごみ,鍋（陶磁器製）（ 30cm以下の物）,,な
燃やすごみ,生ごみ,,な
収集しません,生ごみ処理機,,な
資源ごみ,乳酸菌製品の容器（プラ容器・蓋・フィルム）,,に
資源の日,乳酸菌製品の容器（紙容器）,,に
燃やすごみ,乳酸菌製品の容器（銀色の蓋）,,に
燃やすごみ,人形（木製・布製・スポンジ製）,,に
燃やさないごみ,人形（土・陶器・金属製）,,に
燃やさないごみ,人形ケース（ 30cm以下の物）,,に
燃やすごみ,縫いぐるみ,,ぬ
燃やすごみ,布切れ,,ぬ
燃やすごみ,ネガ（写真フィルム）,,ね
燃やすごみ,ネクタイ,,ね
燃やさないごみ,ねじ,,ね
資源ごみ,ネット（果物・食品用）,,ね
燃やすごみ,粘着カーペットクリーナー（粘着テープ部分）,,ね
燃やさないごみ,粘着カーペットクリーナー（器具本体）,,ね
資源の日,ノート,,の
収集しません,ノートパソコン,,の
収集しません,農業用ビニール,,の
収集しません,農薬のびん及び容器,,の
収集しません,灰,,は
燃やさないごみ,灰皿,,は
収集しません,パイプ椅子,,は
収集しません,パイプベット,,は
収集しません,廃油（燃料及びオイル類）,,は
燃やすごみ,バインダー,,は
燃やさないごみ,秤（はかり）,,は
資源の日,ハガキ,,は
燃やさないごみ,バケツ,,は
燃やさないごみ,はさみ,,は
収集しません,はしご,,は
収集しません,パソコン（デスクトップ）,,は
収集しません,バッテリー,,は
資源ごみ,発泡スチロール（きれいな物）,,は
燃やすごみ,発泡スチロール（汚れた物）,,は
燃やさないごみ,歯ブラシ,,は
燃やさないごみ,歯磨きチューブ（金属製）,,は
燃やすごみ,歯磨きチューブ（プラスチック製）,,は
燃やさないごみ,針,,は
燃やさないごみ,針金,,は
燃やさないごみ,刃物,,は
収集しません,ハロゲンヒーター,,は
燃やさないごみ,ハンガー（プラ・金属製）,,は
燃やすごみ,ハンガー（木製）,,は
燃やすごみ,ハンカチ,,は
資源の日,半紙,,は
資源の日,羽織,,は
燃やさないごみ,ピアニカ（ 30cm以下の物）,,ひ
収集しません,ビーチパラソル（プラ・金属製）,,ひ
燃やすごみ,ビーチパラソル（ビニール部分）（ 30cm以下の物）,,ひ
燃やさないごみ,ビデオカメラ,,ひ
燃やさないごみ,ビデオテープケース（硬質プラ）,,ひ
燃やすごみ,ビデオテープケース（軟質プラ）,,ひ
燃やすごみ,ビデオテープ,,ひ
収集しません,ビデオデッキ,,ひ
燃やすごみ,ビニールコート紙,,ひ
燃やすごみ,ビニールシート（ 30cm以下の物）,,ひ
燃やすごみ,ビニールホース（ 30cm以下の物）,,ひ
燃やすごみ,ひも（ 30cm以下の物）,,ひ
燃やすごみ,肥料袋,,ひ
資源の日,百科事典,,ひ
燃やさないごみ,びん（化粧びん）,,ひ
資源ごみ,びん（その他びん、きれいな物）,,ひ
資源の日,便せん,,ひ
燃やさないごみ,ファイル（プラスチック製）,,ふ
燃やすごみ,ファイル（紙製）,,ふ
燃やさないごみ,ファイルの金具,,ふ
収集しません,ファクシミリ,,ふ
収集しません,ファンヒーター,,ふ
資源の日,封筒,,ふ
収集しません,ふすま,,ふ
資源ごみ,フタ（蓋）（プラスチック製）,,ふ
燃やさないごみ,フタ（蓋）（金属製）,,ふ
燃やすごみ,フタ（蓋）（コルク製）,,ふ
資源ごみ,プチプチシート（包装材）,,ふ
燃やすごみ,筆,,ふ
燃やすごみ,布団（ 30cm以下の物）,,ふ
燃やすごみ,布団カバー（ 30cm以下の物）,,ふ
資源ごみ,プラスチック容器,,ふ
燃やさないごみ,フライパン,,ふ
収集しません,プランター（プラスチック製）,,ふ
資源の日,ブラシ（プラ・金属製）,,ふ
燃やすごみ,ブラシ（木製）,,ふ
収集しません,プリンター,,ふ
燃やさないごみ,ブリキ製品,,ふ
燃やすごみ,風呂用マット（ 30cm以下の物）,,ふ
収集しません,風呂ぶた（プラスチック製）,,ふ
収集しません,風呂用イス,,ふ
収集しません,ブロック,,ふ
燃やさないごみ,フロッピーケース,,ふ
燃やさないごみ,フロッピーディスク,,ふ
燃やさないごみ,ヘアーブラシ（プラスチック製）,,へ
燃やすごみ,ヘアーブラシ（木製）,,へ
資源ごみ,ペットボトル,,へ
資源ごみ,ペットボトルの蓋（プラスチック製）,,へ
燃やさないごみ,ペットボトルの蓋（金属製）,,へ
燃やすごみ,ペットの砂,,へ
燃やさないごみ,ヘッドホン,,へ
収集しません,ベビーカー,,へ
燃やさないごみ,ヘルメット（ 30cm以下の物）,,へ
燃やさないごみ,ベルト（金属製）,,へ
燃やすごみ,ベルト（革・布製）,,へ
収集しません,ペンキ,,へ
燃やさないごみ,ペンキの缶,,へ
収集しません,便器（プラスチック製）,,へ
収集しません,便器（陶器製）,,へ
燃やさないごみ,弁当箱,,へ
燃やすごみ,箒（ほうき）（ 30cm以下の物）,,ほ
収集しません,歩行器,,ほ
資源の日,包装紙,,ほ
燃やさないごみ,包丁,,ほ
資源ごみ,芳香剤容器（外装フィルム、洗ってきれいな物）,,ほ
燃やすごみ,芳香剤容器（内が銀色の物、汚れが落ちないもの）,,ほ
燃やさないごみ,ボウル（台所用品）,,ほ
資源ごみ,防虫剤（衣類用）（包装フィルム）,,ほ
燃やすごみ,ホース,,ほ
収集しません,ホースリール,,ほ
収集しません,ポータブルトイレ,,ほ
燃やさないごみ,補聴器,,ほ
燃やさないごみ,ホッチキス,,ほ
燃やさないごみ,ホットプレート（ 30cm以下の物）,,ほ
燃やさないごみ,ポット,,ほ
燃やさないごみ,哺乳瓶,,ほ
収集しません,ポリタンク,,ほ
燃やさないごみ,ポリバケツ（ 30cm以下の物）,,ほ
燃やすごみ,ボール（スポーツ用品）,,ほ
燃やさないごみ,ボールペン,,ほ
燃やすごみ,保冷剤（やわらかい物）,,ほ
燃やさないごみ,保冷剤（硬い物）,,ほ
資源の日,本,,ほ
燃やさないごみ,マイク,,ま
収集しません,マウス（パソコン用）,,ま
燃やすごみ,机,,ま
燃やさないごみ,マグネット（磁石・磁気版）,,ま
燃やさないごみ,マジックペン,,ま
収集しません,マッサージ機,,ま
燃やすごみ,マットレス（スプリングなし）,,ま
燃やさないごみ,マットレス（スプリング入り）,,ま
燃やさないごみ,まな板（プラスチック製）（ 30cm以下の物）,,ま
燃やすごみ,まな板（木製）（ 30cm以下の物）,,ま
資源ごみ,マヨネーズの容器,,ま
燃やすごみ,豆炭,,ま
燃やさないごみ,豆炭アンカ,,ま
燃やさないごみ,万歩計,,ま
燃やさないごみ,万年筆,,ま
燃やさないごみ,ミキサー,,み
収集しません,ミシン,,み
資源ごみ,ミルク缶,,み
燃やさないごみ,虫眼鏡,,む
収集しません,蒸し器（プラ・金属製）,,む
燃やすごみ,蒸し器（木製）（ 30cm以下の物）,,む
燃やさないごみ,メガネ・サングラス,,め
燃やすごみ,毛布（ 30cm以下の物）,,も
収集しません,餅つき機,,も
燃やすごみ,モップ,,も
収集しません,モニター（パソコン用）,,も
収集しません,物干しざお,,も
収集しません,物干し台,,も
燃やさないごみ,やかん,,や
燃やさないごみ,薬品びん・缶（人に用いないもの）,,や
燃やさないごみ,湯たんぽ,,ゆ
収集しません,湯沸かし器,,ゆ
収集しません,浴槽,,よ
燃やすごみ,よしず（ 30cm以下の物）,,よ
燃やさないごみ,ライター,,ら
燃やさないごみ,ラジオ（ 30cm以下の物）,,ら
燃やさないごみ,ラジカセ（ 30cm以下の物）,,ら
燃やすごみ,ランドセル（ 30cm以下の物）,,ら
燃やさないごみ,リコーダー（プラスチック製）,,り
燃やさないごみ,リモコン,,り
燃やすごみ,リュックサック（ 30cm以下の物）,,り
資源の日,ルーズリーフ,,る
収集しません,冷蔵庫・冷凍庫,,れ
燃やさないごみ,レコード,,れ
収集しません,レコードプレイヤー,,れ
資源ごみ,レジ袋,,れ
燃やさないごみ,レターケース（ 30cm以下の物）,,れ
燃やすごみ,レトルトパック,,れ
収集しません,レンガ,,れ
収集しません,ロッカー,,ろ
燃やすごみ,ロープ,,ろ
燃やさないごみ,ワックスの缶・びん,,わ
収集しません,ワープロ,,わ
